Contig	Start	End	Strand	Pos
NZ_CP085987.1	66767	68002	-1	63
NZ_CP085987.1	67996	69237	-1	64
NZ_CP085987.1	69442	69681	-1	65
NZ_CP085987.1	69684	70403	-1	66
NZ_CP085987.1	70580	71464	-1	67
NZ_CP085987.1	71618	72313	-1	68
NZ_CP085987.1	72310	72708	-1	69
NZ_CP085987.1	72840	73748	-1	70
NZ_CP085987.1	73874	75232	1	71
NZ_CP085987.1	75244	76281	1	72
NZ_CP085987.1	76297	76998	1	73
NZ_CP085987.1	77007	77651	1	74
NZ_CP085987.1	77666	78859	1	75
NZ_CP085987.1	78968	79906	1	76
NZ_CP085987.1	80365	81801	1	77
NZ_CP085987.1	81867	82628	1	78
NZ_CP085987.1	82677	83246	-1	79
NZ_CP085987.1	83405	83992	1	80
NZ_CP085987.1	84197	85105	1	81
NZ_CP085987.1	85163	86893	-1	82
NZ_CP085987.1	87160	89457	1	83
NZ_CP085987.1	89638	90555	1	84
NZ_CP085987.1	90559	91728	1	85
NZ_CP085987.1	91721	92668	1	86
NZ_CP085987.1	92652	93383	1	87
NZ_CP085987.1	93364	93471	-1	88
NZ_CP085987.1	93531	94262	-1	89
NZ_CP085987.1	94485	96170	1	90
NZ_CP085987.1	96167	96886	1	91
NZ_CP085987.1	96933	97400	1	92
NZ_CP085987.1	97457	97987	-1	93
NZ_CP085987.1	98159	98617	-1	94
NZ_CP085987.1	98858	100891	-1	95
NZ_CP085987.1	101056	102165	1	96
NZ_CP085987.1	102443	102724	1	97
NZ_CP085987.1	103003	103533	1	98
NZ_CP085987.1	103589	104272	1	99
NZ_CP085987.1	104286	106775	1	100
NZ_CP085987.1	106791	107798	1	101
NZ_CP085987.1	108061	108375	-1	102
NZ_CP085987.1	108785	109582	1	103
NZ_CP085987.1	109569	110369	1	104
NZ_CP085987.1	110405	111151	1	105
NZ_CP085987.1	111125	112090	-1	106
NZ_CP085987.1	112087	113091	-1	107
NZ_CP085987.1	113088	114359	-1	108
NZ_CP085987.1	114613	115665	1	109
NZ_CP085987.1	115718	116617	-1	110
NZ_CP085987.1	117179	117514	1	111
NZ_CP085987.1	117636	118052	1	112
NZ_CP085987.1	118088	119095	-1	113
NZ_CP085987.1	119585	120946	-1	114
NZ_CP085987.1	121062	123173	-1	115
NZ_CP085987.1	123184	123900	-1	116
NZ_CP085987.1	123900	125102	-1	117
NZ_CP085987.1	125371	126093	-1	118
NZ_CP085987.1	126090	127493	-1	119
NZ_CP085987.1	127493	128905	-1	120
NZ_CP085987.1	128902	131982	-1	121
NZ_CP085987.1	131983	135105	-1	122
NZ_CP085987.1	135105	136346	-1	123
NZ_CP085987.1	136451	136648	-1	124
NZ_CP085987.1	136787	138139	-1	125
NZ_CP085987.1	138273	139142	1	126
NZ_CP085987.1	139110	142100	-1	127
NZ_CP085987.1	142431	143072	1	128
NZ_CP085987.1	143163	143744	1	129
NZ_CP085987.1	143783	145639	1	130
NZ_CP085987.1	145725	147305	-1	131
NZ_CP085987.1	147980	149119	1	132
NZ_CP085987.1	149125	149574	1	133
NZ_CP085987.1	149571	151730	1	134
NZ_CP085987.1	151748	152659	1	135
NZ_CP085987.1	152662	153150	1	136
NZ_CP085987.1	153147	154364	1	137
NZ_CP085987.1	154339	155553	1	138
NZ_CP085987.1	155566	156312	1	139
NZ_CP085987.1	156328	156882	1	140
NZ_CP085987.1	156906	158027	1	141
NZ_CP085987.1	158030	158995	1	142
NZ_CP085987.1	158998	159471	1	143
NZ_CP085987.1	159468	160691	1	144
NZ_CP085987.1	160694	162130	1	145
NZ_CP085987.1	162241	163611	1	146
NZ_CP085987.1	163665	165059	1	147
NZ_CP085987.1	165192	166670	1	148
NZ_CP085987.1	166692	167972	1	149
NZ_CP085987.1	167969	169189	1	150
NZ_CP085987.1	169200	170603	1	151
NZ_CP085987.1	170781	171674	1	152
NZ_CP085987.1	172051	173136	1	153
NZ_CP085987.1	173136	174035	1	154
NZ_CP085987.1	174083	174961	1	155
NZ_CP085987.1	174965	175513	1	156
NZ_CP085987.1	175519	176511	1	157
NZ_CP085987.1	176508	177281	1	158
NZ_CP085987.1	177286	178365	1	159
NZ_CP085987.1	178392	179705	1	160
NZ_CP085987.1	179733	180632	1	161
NZ_CP085987.1	181101	182006	1	162
NZ_CP085987.1	182011	183012	1	163
NZ_CP085987.1	183332	184393	1	164
NZ_CP085987.1	184394	185338	1	165
NZ_CP085987.1	185339	186778	1	166
NZ_CP085987.1	186765	188198	1	167
NZ_CP085987.1	188270	189700	1	168
NZ_CP085987.1	189864	191270	1	169
NZ_CP085987.1	191507	192673	1	170
NZ_CP085987.1	192816	193799	1	171
NZ_CP085987.1	193880	194491	-1	172
NZ_CP085987.1	194485	195261	-1	173
NZ_CP085987.1	195243	195980	-1	174
NZ_CP085987.1	195980	196570	-1	175
NZ_CP085987.1	196570	197637	-1	176
NZ_CP085987.1	197634	198713	-1	177
NZ_CP085987.1	198710	200014	-1	178
NZ_CP085987.1	200117	201016	-1	179
NZ_CP085987.1	201376	202200	1	180
NZ_CP085987.1	202246	203160	1	181
NZ_CP085987.1	203446	204804	1	182
NZ_CP085987.1	204940	206370	-1	183
NZ_CP085987.1	206713	209061	-1	184
NZ_CP085987.1	209680	211956	1	185
NZ_CP085987.1	211971	212549	1	186
NZ_CP085987.1	212546	213310	1	187
NZ_CP085987.1	213440	214606	1	188
NZ_CP085987.1	214759	215226	1	189
NZ_CP085987.1	215345	216403	1	190
NZ_CP085987.1	216648	216983	1	191
NZ_CP085987.1	217017	217919	-1	192
NZ_CP085987.1	217977	219191	-1	193
NZ_CP085987.1	219176	219628	-1	194
NZ_CP085987.1	219633	219983	-1	195
NZ_CP085987.1	219983	220537	-1	196
NZ_CP085987.1	220540	221895	-1	197
NZ_CP085987.1	221892	223004	-1	198
NZ_CP085987.1	223016	224410	-1	199
NZ_CP085987.1	224407	225417	-1	200
NZ_CP085987.1	225427	225702	-1	201
NZ_CP085987.1	225706	226197	-1	202
NZ_CP085987.1	226194	226826	-1	203
NZ_CP085987.1	226826	227287	-1	204
NZ_CP085987.1	227312	227587	-1	205
NZ_CP085987.1	227606	227956	-1	206
NZ_CP085987.1	227946	229778	-1	207
NZ_CP085987.1	229788	230309	-1	208
NZ_CP085987.1	230324	230998	-1	209
NZ_CP085987.1	231009	232673	-1	210
NZ_CP085987.1	232692	233504	-1	211
NZ_CP085987.1	233501	233785	-1	212
NZ_CP085987.1	234310	235104	1	213
NZ_CP085987.1	235321	236232	1	214
NZ_CP085987.1	236830	238209	1	215
NZ_CP085987.1	238206	239165	1	216
NZ_CP085987.1	239176	239808	1	217
NZ_CP085987.1	239808	240947	1	218
NZ_CP085987.1	240941	241546	1	219
NZ_CP085987.1	241536	242114	1	220
NZ_CP085987.1	242098	242871	1	221
NZ_CP085987.1	242852	243907	1	222
NZ_CP085987.1	243907	244632	1	223
NZ_CP085987.1	244629	245420	1	224
NZ_CP085987.1	245423	246217	1	225
NZ_CP085987.1	246214	246927	1	226
NZ_CP085987.1	246924	247661	1	227
NZ_CP085987.1	247663	247944	1	228
NZ_CP085987.1	247931	248608	1	229
NZ_CP085987.1	248617	249432	1	230
NZ_CP085987.1	249429	250949	1	231
NZ_CP085987.1	250946	251491	1	232
NZ_CP085987.1	251488	252231	1	233
NZ_CP085987.1	252258	253328	1	234
NZ_CP085987.1	253406	254335	1	235
NZ_CP085987.1	254830	256254	1	236
NZ_CP085987.1	257348	257674	1	237
NZ_CP085987.1	257870	259324	1	238
NZ_CP085987.1	259846	260019	-1	239
NZ_CP085987.1	260229	261959	-1	240
NZ_CP085987.1	262016	264184	-1	241
NZ_CP085987.1	264527	265225	-1	242
NZ_CP085987.1	265700	266173	-1	243
NZ_CP085987.1	267483	268280	-1	244
NZ_CP085987.1	268572	269561	-1	245
NZ_CP085987.1	269563	269790	-1	246
NZ_CP085987.1	269830	270399	-1	247
NZ_CP085987.1	270403	270984	-1	248
NZ_CP085987.1	270995	271252	-1	249
NZ_CP085987.1	271254	271787	-1	250
NZ_CP085987.1	271858	272397	-1	251
NZ_CP085987.1	272534	273361	-1	252
NZ_CP085987.1	273419	273952	-1	253
NZ_CP085987.1	274330	274554	1	254
NZ_CP085987.1	274517	274855	-1	255
NZ_CP085987.1	275061	275756	-1	256
NZ_CP085987.1	275854	276078	1	257
NZ_CP085987.1	276107	276661	1	258
NZ_CP085987.1	276658	277800	1	259
NZ_CP085987.1	277797	278021	1	260
NZ_CP085987.1	278018	278992	1	261
NZ_CP085987.1	278989	279462	1	262
NZ_CP085987.1	279459	280334	1	263
NZ_CP085987.1	280343	280732	1	264
NZ_CP085987.1	280749	281609	1	265
NZ_CP085987.1	281617	282606	1	266
NZ_CP085987.1	282620	283372	1	267
NZ_CP085987.1	283523	283780	1	268
NZ_CP085987.1	283926	284312	1	269
NZ_CP085987.1	284580	285194	1	270
NZ_CP085987.1	285402	285746	1	271
NZ_CP085987.1	285824	286378	1	272
NZ_CP085987.1	286429	286779	1	273
NZ_CP085987.1	286905	287255	1	274
NZ_CP085987.1	287287	287400	1	275
NZ_CP085987.1	287397	289130	1	276
NZ_CP085987.1	289142	289324	1	277
NZ_CP085987.1	289324	290565	1	278
NZ_CP085987.1	290543	291193	1	279
NZ_CP085987.1	291208	292413	1	280
NZ_CP085987.1	292463	292663	1	281
NZ_CP085987.1	292666	292989	1	282
NZ_CP085987.1	292986	293390	1	283
NZ_CP085987.1	293362	293874	1	284
NZ_CP085987.1	293871	294428	1	285
NZ_CP085987.1	294450	294614	1	286
NZ_CP085987.1	294604	296100	1	287
NZ_CP085987.1	296100	296456	1	288
NZ_CP085987.1	296453	296779	1	289
NZ_CP085987.1	296864	298789	1	290
NZ_CP085987.1	298806	299255	1	291
NZ_CP085987.1	299315	300655	1	292
NZ_CP085987.1	300652	301710	1	293
NZ_CP085987.1	301710	302243	1	294
NZ_CP085987.1	302248	302661	1	295
NZ_CP085987.1	302654	303733	1	296
NZ_CP085987.1	303736	304323	1	297
NZ_CP085987.1	304310	305872	1	298
NZ_CP085987.1	305872	306447	1	299
NZ_CP085987.1	306476	306574	-1	300
NZ_CP085987.1	306561	306794	-1	301
NZ_CP085987.1	307030	307443	-1	302
NZ_CP085987.1	307440	307652	-1	303
NZ_CP085987.1	309134	309553	1	304
NZ_CP085987.1	309556	310824	1	305
NZ_CP085987.1	311279	311491	1	306
NZ_CP085987.1	311951	313147	-1	307
NZ_CP085987.1	313797	314096	1	308
NZ_CP085987.1	314188	314883	1	309
NZ_CP085987.1	314957	316387	1	310
NZ_CP085987.1	316368	316838	1	311
NZ_CP085987.1	316827	317747	-1	312
NZ_CP085987.1	317923	318834	1	313
NZ_CP085987.1	318911	319096	1	314
NZ_CP085987.1	319261	320973	1	315
NZ_CP085987.1	320952	321767	-1	316
NZ_CP085987.1	322077	322304	-1	317
NZ_CP085987.1	322433	322627	1	318
NZ_CP085987.1	322666	323289	-1	319
NZ_CP085987.1	323571	324365	-1	320
NZ_CP085987.1	324374	324643	-1	321
NZ_CP085987.1	324653	325390	-1	322
NZ_CP085987.1	325390	325767	-1	323
NZ_CP085987.1	325767	326180	-1	324
NZ_CP085987.1	326177	327181	-1	325
NZ_CP085987.1	327186	327653	-1	326
NZ_CP085987.1	327758	328975	-1	327
NZ_CP085987.1	328972	329415	-1	328
NZ_CP085987.1	329437	330807	-1	329
NZ_CP085987.1	330807	331514	-1	330
NZ_CP085987.1	331507	332502	-1	331
NZ_CP085987.1	332495	334177	-1	332
NZ_CP085987.1	334394	334708	1	333
NZ_CP085987.1	335479	335712	-1	334
NZ_CP085987.1	335709	336914	-1	335
NZ_CP085987.1	337100	337537	1	336
NZ_CP085987.1	337577	339061	-1	337
NZ_CP085987.1	339133	339501	-1	338
NZ_CP085987.1	339501	339908	-1	339
NZ_CP085987.1	339923	341326	-1	340
NZ_CP085987.1	341583	343070	1	341
NZ_CP085987.1	343149	344354	1	342
NZ_CP085987.1	344535	344822	1	343
NZ_CP085987.1	345261	345980	1	344
NZ_CP085987.1	346039	346590	1	345
NZ_CP085987.1	346737	347537	1	346
NZ_CP085987.1	347691	348677	1	347
NZ_CP085987.1	348698	349366	1	348
NZ_CP085987.1	349363	350115	1	349
NZ_CP085987.1	350347	351069	1	350
NZ_CP085987.1	351136	351360	-1	351
NZ_CP085987.1	351824	352480	1	352
NZ_CP085987.1	352477	354309	1	353
NZ_CP085987.1	354366	354914	1	354
NZ_CP085987.1	355663	355947	1	355
NZ_CP085987.1	356166	357599	1	356
NZ_CP085987.1	357812	358138	1	357
NZ_CP085987.1	358376	359041	1	358
NZ_CP085987.1	359116	360384	-1	359
NZ_CP085987.1	360554	360793	1	360
NZ_CP085987.1	360839	361336	-1	361
NZ_CP085987.1	361576	361911	-1	362
NZ_CP085987.1	362167	362805	1	363
NZ_CP085987.1	362984	363487	-1	364
NZ_CP085987.1	364038	364595	1	365
NZ_CP085987.1	365129	366031	1	366
NZ_CP085987.1	366006	367427	1	367
NZ_CP085987.1	367445	367873	-1	368
NZ_CP085987.1	368669	369010	1	369
NZ_CP085987.1	369013	369591	1	370
NZ_CP085987.1	369716	370603	1	371
NZ_CP085987.1	370600	371529	1	372
NZ_CP085987.1	371534	373549	1	373
NZ_CP085987.1	373570	374073	1	374
NZ_CP085987.1	374310	375971	1	375
NZ_CP085987.1	376125	376991	1	376
NZ_CP085987.1	376988	378037	1	377
NZ_CP085987.1	378055	378444	1	378
NZ_CP085987.1	378452	379099	1	379
NZ_CP085987.1	379293	380444	1	380
NZ_CP085987.1	380437	382515	1	381
NZ_CP085987.1	382515	382907	1	382
NZ_CP085987.1	383144	384283	1	383
NZ_CP085987.1	384337	386208	-1	384
NZ_CP085987.1	386397	388130	-1	385
NZ_CP085987.1	388367	388936	1	386
NZ_CP085987.1	388956	389702	1	387
NZ_CP085987.1	389938	390909	-1	388
NZ_CP085987.1	390906	391649	-1	389
NZ_CP085987.1	391690	392085	-1	390
NZ_CP085987.1	392138	392956	-1	391
NZ_CP085987.1	392953	393519	-1	392
NZ_CP085987.1	393844	395616	1	393
NZ_CP085987.1	395719	396171	1	394
NZ_CP085987.1	396201	396941	1	395
NZ_CP085987.1	396978	397499	1	396
NZ_CP085987.1	397501	398100	-1	397
NZ_CP085987.1	398727	399710	-1	398
NZ_CP085987.1	400043	400654	1	399
NZ_CP085987.1	400663	401673	1	400
NZ_CP085987.1	401752	402537	-1	401
NZ_CP085987.1	402534	403289	-1	402
NZ_CP085987.1	403311	404312	1	403
NZ_CP085987.1	404328	405647	1	404
NZ_CP085987.1	405764	406735	1	405
NZ_CP085987.1	406808	408250	-1	406
NZ_CP085987.1	408374	409243	-1	407
NZ_CP085987.1	409585	411060	1	408
NZ_CP085987.1	411295	413106	1	409
NZ_CP085987.1	413144	413785	1	410
NZ_CP085987.1	413885	415063	-1	411
NZ_CP085987.1	415194	415484	1	412
NZ_CP085987.1	415552	415905	1	413
NZ_CP085987.1	415999	416658	1	414
NZ_CP085987.1	416871	418922	1	415
NZ_CP085987.1	418957	419655	-1	416
NZ_CP085987.1	419679	420335	-1	417
NZ_CP085987.1	420443	420673	-1	418
NZ_CP085987.1	420811	421185	1	419
NZ_CP085987.1	421186	422061	1	420
NZ_CP085987.1	422078	422431	1	421
NZ_CP085987.1	422805	423659	-1	422
NZ_CP085987.1	423719	424372	-1	423
NZ_CP085987.1	424403	424633	1	424
NZ_CP085987.1	424687	425220	1	425
NZ_CP085987.1	425477	425644	-1	426
NZ_CP085987.1	425952	426215	1	427
NZ_CP085987.1	426370	427251	1	428
NZ_CP085987.1	428061	428219	-1	429
NZ_CP085987.1	428820	428942	1	430
NZ_CP085987.1	429391	430005	-1	431
NZ_CP085987.1	430015	430173	-1	432
NZ_CP085987.1	430306	431220	-1	433
NZ_CP085987.1	432533	432910	-1	434
NZ_CP085987.1	433025	433882	1	435
NZ_CP085987.1	433882	434028	1	436
NZ_CP085987.1	435310	435729	1	437
NZ_CP085987.1	436117	436593	-1	438
NZ_CP085987.1	436923	437318	-1	439
NZ_CP085987.1	438001	438723	1	440
NZ_CP085987.1	439008	439172	1	441
NZ_CP085987.1	439145	439378	1	442
NZ_CP085987.1	439396	440046	1	443
NZ_CP085987.1	440065	440256	-1	444
NZ_CP085987.1	440367	440606	-1	445
NZ_CP085987.1	440721	442262	-1	446
NZ_CP085987.1	442238	444871	-1	447
NZ_CP085987.1	444840	446123	-1	448
NZ_CP085987.1	446180	446749	1	449
NZ_CP085987.1	446847	447533	1	450
NZ_CP085987.1	447553	449601	1	451
NZ_CP085987.1	449795	450676	1	452
NZ_CP085987.1	450724	452097	-1	453
NZ_CP085987.1	452162	452269	1	454
NZ_CP085987.1	452273	453064	1	455
NZ_CP085987.1	453276	453515	-1	456
NZ_CP085987.1	453673	453816	1	457
NZ_CP085987.1	453887	454174	1	458
NZ_CP085987.1	454979	455188	1	459
NZ_CP085987.1	455408	457153	1	460
NZ_CP085987.1	457219	458028	1	461
NZ_CP085987.1	458025	458591	-1	462
NZ_CP085987.1	459001	459459	-1	463
NZ_CP085987.1	459517	460368	-1	464
NZ_CP085987.1	460381	461181	-1	465
NZ_CP085987.1	461234	462202	-1	466
NZ_CP085987.1	462675	464234	1	467
NZ_CP085987.1	464256	465857	-1	468
NZ_CP085987.1	465995	467359	-1	469
NZ_CP085987.1	467623	468201	-1	470
NZ_CP085987.1	468205	469569	-1	471
NZ_CP085987.1	469650	469829	1	472
NZ_CP085987.1	469835	470179	-1	473
NZ_CP085987.1	470310	472220	1	474
NZ_CP085987.1	472278	472973	1	475
NZ_CP085987.1	473045	473626	1	476
NZ_CP085987.1	473765	475516	1	477
NZ_CP085987.1	475601	476716	1	478
NZ_CP085987.1	476838	477104	-1	479
NZ_CP085987.1	477108	477920	-1	480
NZ_CP085987.1	477944	478651	-1	481
NZ_CP085987.1	478777	479070	1	482
NZ_CP085987.1	479120	479779	1	483
NZ_CP085987.1	479872	480318	1	484
NZ_CP085987.1	480670	480807	1	485
NZ_CP085987.1	480999	481172	1	486
NZ_CP085987.1	481244	481585	-1	487
NZ_CP085987.1	481694	482224	-1	488
NZ_CP085987.1	482366	483910	-1	489
NZ_CP085987.1	484130	484849	1	490
NZ_CP085987.1	484896	486428	-1	491
NZ_CP085987.1	486751	488049	1	492
NZ_CP085987.1	488063	489133	1	493
NZ_CP085987.1	489196	490929	-1	494
NZ_CP085987.1	491026	491940	-1	495
NZ_CP085987.1	492111	492722	1	496
NZ_CP085987.1	492736	493470	-1	497
NZ_CP085987.1	493639	493893	1	498
NZ_CP085987.1	493956	495668	-1	499
NZ_CP085987.1	495882	497156	-1	500
NZ_CP085987.1	497551	497640	-1	501
NZ_CP085987.1	497653	498789	-1	502
NZ_CP085987.1	498801	500345	-1	503
NZ_CP085987.1	500420	501268	-1	504
NZ_CP085987.1	501265	501720	-1	505
NZ_CP085987.1	501659	502255	-1	506
NZ_CP085987.1	502252	502983	-1	507
NZ_CP085987.1	503002	504795	-1	508
NZ_CP085987.1	504792	505910	-1	509
NZ_CP085987.1	506405	507670	1	510
NZ_CP085987.1	507829	508920	-1	511
NZ_CP085987.1	509037	509621	-1	512
NZ_CP085987.1	509897	510175	1	513
NZ_CP085987.1	510220	511878	-1	514
NZ_CP085987.1	512030	512977	-1	515
NZ_CP085987.1	513243	514094	-1	516
NZ_CP085987.1	514091	514714	-1	517
NZ_CP085987.1	515028	516284	1	518
NZ_CP085987.1	516325	517407	1	519
NZ_CP085987.1	517407	518240	1	520
NZ_CP085987.1	518237	518626	1	521
NZ_CP085987.1	518630	519439	1	522
NZ_CP085987.1	519477	520331	1	523
NZ_CP085987.1	520385	521485	-1	524
NZ_CP085987.1	521752	521982	1	525
NZ_CP085987.1	522062	522415	-1	526
NZ_CP085987.1	522592	524016	1	527
NZ_CP085987.1	524017	524667	-1	528
NZ_CP085987.1	524660	526456	-1	529
NZ_CP085987.1	526797	528194	1	530
NZ_CP085987.1	528582	532325	1	531
NZ_CP085987.1	532322	533857	1	532
NZ_CP085987.1	533854	534564	1	533
NZ_CP085987.1	534564	535241	1	534
NZ_CP085987.1	535483	537012	1	535
NZ_CP085987.1	538328	539170	-1	536
NZ_CP085987.1	539221	539679	-1	537
NZ_CP085987.1	539799	540695	1	538
NZ_CP085987.1	540786	541799	1	539
NZ_CP085987.1	542002	542910	1	540
NZ_CP085987.1	543042	543455	-1	541
NZ_CP085987.1	544118	544735	1	542
NZ_CP085987.1	544932	547610	-1	543
NZ_CP085987.1	548087	548734	1	544
NZ_CP085987.1	549499	551130	1	545
NZ_CP085987.1	551252	552172	1	546
NZ_CP085987.1	552187	553095	1	547
NZ_CP085987.1	553107	554114	1	548
NZ_CP085987.1	554111	555115	1	549
NZ_CP085987.1	555163	555999	1	550
NZ_CP085987.1	556047	556376	-1	551
NZ_CP085987.1	556410	557870	-1	552
NZ_CP085987.1	558013	558186	1	553
NZ_CP085987.1	558230	558526	-1	554
NZ_CP085987.1	558750	559484	1	555
NZ_CP085987.1	559544	559945	-1	556
NZ_CP085987.1	560106	560645	-1	557
NZ_CP085987.1	560702	561445	-1	558
NZ_CP085987.1	561471	561875	-1	559
NZ_CP085987.1	562213	562851	1	560
NZ_CP085987.1	562933	563811	-1	561
NZ_CP085987.1	563831	564337	-1	562
NZ_CP085987.1	564411	564914	-1	563
NZ_CP085987.1	565004	565186	-1	564
NZ_CP085987.1	565666	566472	-1	565
NZ_CP085987.1	566472	567665	-1	566
NZ_CP085987.1	567675	569033	-1	567
NZ_CP085987.1	569037	570632	-1	568
NZ_CP085987.1	570632	572194	-1	569
NZ_CP085987.1	572467	573336	1	570
NZ_CP085987.1	573344	573964	1	571
NZ_CP085987.1	574065	574940	1	572
NZ_CP085987.1	575027	575617	-1	573
NZ_CP085987.1	575614	576375	-1	574
NZ_CP085987.1	576619	577659	1	575
NZ_CP085987.1	577701	577952	-1	576
NZ_CP085987.1	578355	580952	1	577
NZ_CP085987.1	581363	582337	1	578
NZ_CP085987.1	582630	582758	1	579
NZ_CP085987.1	583314	585989	1	580
NZ_CP085987.1	586045	586635	-1	581
NZ_CP085987.1	586831	587595	1	582
NZ_CP085987.1	587745	588053	1	583
NZ_CP085987.1	588060	589229	1	584
NZ_CP085987.1	589420	590157	1	585
NZ_CP085987.1	590157	590483	1	586
NZ_CP085987.1	590603	590821	-1	587
NZ_CP085987.1	591080	591802	-1	588
NZ_CP085987.1	591919	592098	-1	589
NZ_CP085987.1	592220	594202	-1	590
NZ_CP085987.1	594464	596398	-1	591
NZ_CP085987.1	596487	597620	-1	592
NZ_CP085987.1	597820	598608	-1	593
NZ_CP085987.1	599214	600587	1	594
NZ_CP085987.1	601054	601761	1	595
NZ_CP085987.1	601777	602583	-1	596
NZ_CP085987.1	602585	603577	-1	597
NZ_CP085987.1	603577	604467	-1	598
NZ_CP085987.1	604454	605419	-1	599
NZ_CP085987.1	605416	607065	-1	600
NZ_CP085987.1	607177	608157	-1	601
NZ_CP085987.1	608328	608996	1	602
NZ_CP085987.1	609056	609280	1	603
NZ_CP085987.1	609280	609639	1	604
NZ_CP085987.1	609662	609880	1	605
NZ_CP085987.1	609956	610270	1	606
NZ_CP085987.1	610419	611816	1	607
NZ_CP085987.1	611813	612874	1	608
NZ_CP085987.1	613022	614563	1	609
NZ_CP085987.1	614653	615159	-1	610
NZ_CP085987.1	615275	616240	1	611
NZ_CP085987.1	616215	616943	-1	612
NZ_CP085987.1	617133	618746	1	613
NZ_CP085987.1	618843	619772	-1	614
NZ_CP085987.1	619891	620796	1	615
NZ_CP085987.1	621103	621939	1	616
NZ_CP085987.1	622030	622743	-1	617
NZ_CP085987.1	622821	623411	1	618
NZ_CP085987.1	623540	623776	1	619
NZ_CP085987.1	623990	625045	-1	620
NZ_CP085987.1	625490	626341	-1	621
NZ_CP085987.1	626641	627486	1	622
NZ_CP085987.1	627561	629543	1	623
NZ_CP085987.1	629570	630394	1	624
NZ_CP085987.1	630532	631050	1	625
NZ_CP085987.1	631522	632208	-1	626
NZ_CP085987.1	632252	632854	1	627
NZ_CP085987.1	632940	633971	-1	628
NZ_CP085987.1	634210	634464	1	629
NZ_CP085987.1	634519	635466	-1	630
NZ_CP085987.1	635617	636369	-1	631
NZ_CP085987.1	636565	637080	-1	632
NZ_CP085987.1	637338	637901	1	633
NZ_CP085987.1	638312	639466	1	634
NZ_CP085987.1	639612	640595	1	635
NZ_CP085987.1	641082	642455	1	636
NZ_CP085987.1	642499	643434	-1	637
NZ_CP085987.1	643790	644128	1	638
NZ_CP085987.1	644178	644612	-1	639
NZ_CP085987.1	645094	648618	-1	640
NZ_CP085987.1	648894	649160	1	641
NZ_CP085987.1	649204	649614	-1	642
NZ_CP085987.1	649725	650714	-1	643
NZ_CP085987.1	650954	653590	1	644
NZ_CP085987.1	653590	653781	1	645
NZ_CP085987.1	653789	654112	1	646
NZ_CP085987.1	654255	654704	1	647
NZ_CP085987.1	654701	655306	-1	648
NZ_CP085987.1	655507	659409	1	649
NZ_CP085987.1	659473	660273	1	650
NZ_CP085987.1	660390	660920	1	651
NZ_CP085987.1	661191	661853	-1	652
